date,通常物数
2023/3/20,96000
2023/3/21,0
2023/3/22,123000
2023/3/23,35000
2023/3/24,62000
2023/3/25,0
2023/3/26,0
2023/3/27,84000
2023/3/28,42000
2023/3/29,56000
2023/3/30,58000
2023/3/31,60000
2023/4/1,0
2023/4/2,0
2023/4/3,90000
2023/4/4,45000
2023/4/5,43000
2023/4/6,44000
2023/4/7,47000
2023/4/8,0
2023/4/9,0
2023/4/10,88000
2023/4/11,38000
2023/4/12,44000
2023/4/13,43000
2023/4/14,46000
2023/4/15,0
2023/4/16,0
2023/4/17,99000
2023/4/18,65000
2023/4/19,63000
2023/4/20,78000
2023/4/21,63000
2023/4/22,0
2023/4/23,0
2023/4/24,84000
2023/4/25,42000
2023/4/26,44000
2023/4/27,45000
2023/4/28,49000
2023/4/29,0
2023/4/30,0
2023/5/1,89000
2023/5/2,32000
2023/5/3,0
2023/5/4,0
2023/5/5,0
2023/5/6,0
2023/5/7,0
2023/5/8,145000
2023/5/9,32000
2023/5/10,38000
2023/5/11,40000
2023/5/12,43000
2023/5/13,0
2023/5/14,0
2023/5/15,79000
2023/5/16,36000
2023/5/17,36000
2023/5/18,40000
2023/5/19,42000
2023/5/20,0
2023/5/21,0
2023/5/22,80000
2023/5/23,31000
2023/5/24,38000
2023/5/25,39000
2023/5/26,45000
2023/5/27,0
2023/5/28,0
2023/5/29,90000
2023/5/30,37000
2023/5/31,40000
2023/6/1,42000
2023/6/2,45000
2023/6/3,0
2023/6/4,0
2023/6/5,86000
2023/6/6,41000
2023/6/7,52000
2023/6/8,62000
2023/6/9,52000
2023/6/10,0
2023/6/11,0
2023/6/12,88000
2023/6/13,51000
2023/6/14,46000
2023/6/15,55000
2023/6/16,54000
2023/6/17,0
2023/6/18,0
2023/6/19,95000
2023/6/20,46000
2023/6/21,42000
2023/6/22,55000
2023/6/23,52000
2023/6/24,0
2023/6/25,0
2023/6/26,85000
2023/6/27,39000
2023/6/28,45000
2023/6/29,52000
2023/6/30,60000
2023/7/1,0
2023/7/2,0
2023/7/3,84000
2023/7/4,37000
2023/7/5,46000
2023/7/6,53000
2023/7/7,52000
2023/7/8,0
2023/7/9,0
2023/7/10,90000
2023/7/11,38000
